dataset,nodes,edges,density,average_clustering,transitivity,connected_components,largest_component_size,largest_component_share,average_path_length_lcc,average_path_length_method,diameter_lcc,diameter_method,mean_degree_centrality,max_degree_centrality,mean_betweenness_centrality,max_betweenness_centrality,betweenness_method
BOT_REQUESTS,552,2424,0.015939398721691787,0.6576402779180823,0.17452249325333402,29,519,0.9402173913043478,2.60280759702725,exact,6.0,exact,0.015939398721691787,0.4101633393829401,0.0025758771332037326,0.2582434709305614,exact
PROPERTY_PROPOSAL,3058,46154,0.009874302360235105,0.814376570770028,0.1394331423229317,8,3051,0.9977109221713538,2.3841952383255154,exact,5.0,exact,0.009874302360235105,0.45763820739286887,0.0004500371634296511,0.11304261803672883,sampled_k_245
REQUEST_FOR_DELETION,9935,33497,0.0006788032012794256,0.39195151978191595,0.014012985371831791,57,9870,0.9934574735782586,2.7269769131877597,sampled_bfs,5.0,approximation,0.0006788032012794256,0.4972820616066036,0.0001685474805380062,0.4896611194678469,sampled_k_256
