dataset,nodes,edges,density,average_clustering,transitivity,connected_components,largest_component_size,largest_component_share,average_path_length_lcc,average_path_length_method,diameter_lcc,diameter_method,mean_degree_centrality,max_degree_centrality,mean_betweenness_centrality,max_betweenness_centrality,betweenness_method,random_density_mean,random_average_clustering_mean,random_transitivity_mean,random_connected_components_mean,random_largest_component_size_mean,random_average_path_length_lcc_mean,random_diameter_lcc_mean,clustering_ratio_vs_random_mean,path_ratio_vs_random_mean,small_world_sigma_mean
BOT_REQUESTS,552,2424,0.015939398721691787,0.6576402779180823,0.17452249325333402,29,519,0.9402173913043478,2.60280759702725,exact,6.0,exact,0.015939398721691787,0.4101633393829401,0.0025758771332037326,0.2582434709305614,exact,0.015939398721691787,0.017019000409261548,0.016008562021304545,1.0,552.0,3.1421635673391375,5.333333333333333,38.965217898231494,0.8283490017919092,47.04096963607221
PROPERTY_PROPOSAL,3058,46154,0.009874302360235105,0.814376570770028,0.1394331423229317,8,3051,0.9977109221713538,2.3841952383255154,exact,5.0,exact,0.009874302360235105,0.45763820739286887,0.0004500371634296511,0.11304261803672883,sampled_k_245,0.009874302360235105,0.010039819046090635,0.01001124114101379,1.0,3058.0,2.725832395017165,4.0,81.11845820313007,0.8746668541835718,92.74208419052358
REQUEST_FOR_DELETION,9935,33497,0.0006788032012794256,0.39195151978191595,0.014012985371831791,57,9870,0.9934574735782586,2.7269769131877597,sampled_bfs,5.0,approximation,0.0006788032012794256,0.4972820616066036,0.0001685474805380062,0.4896611194678469,sampled_k_256,0.0006788032012794255,0.0005283014722311327,0.0005755505134586555,15.333333333333334,9920.333333333334,5.014014576082295,9.0,755.2675751258238,0.5417653640479828,1394.010658692903
