dataset,random_density_mean,random_average_clustering_mean,random_transitivity_mean,random_connected_components_mean,random_largest_component_size_mean,random_average_path_length_lcc_mean,random_diameter_lcc_mean,clustering_ratio_vs_random_mean,path_ratio_vs_random_mean,small_world_sigma_mean
BOT_REQUESTS,0.015939398721691787,0.017019000409261548,0.016008562021304545,1.0,552.0,3.1421635673391375,5.333333333333333,38.965217898231494,0.8283490017919092,47.04096963607221
PROPERTY_PROPOSAL,0.009874302360235105,0.010039819046090635,0.01001124114101379,1.0,3058.0,2.725832395017165,4.0,81.11845820313007,0.8746668541835718,92.74208419052358
REQUEST_FOR_DELETION,0.0006788032012794255,0.0005283014722311327,0.0005755505134586555,15.333333333333334,9920.333333333334,5.014014576082295,9.0,755.2675751258238,0.5417653640479828,1394.010658692903
