u,v,length_m,node_owner_u,node_owner_v,node_network_owner,edge_point_owner,is_boundary_edge
321764,321780,2420.0894933433046,Seed_4,Seed_4,Seed_4,Seed_4,False
994047,994050,10.4381772775183,Seed_4,Seed_4,Seed_4,Seed_4,False
994047,994043,155.38751327747786,Seed_4,Seed_4,Seed_4,Seed_4,False
321759,994067,499.89165954710217,Seed_4,Seed_4,Seed_4,Seed_4,False
1056977529,1056977613,372.5326775778437,Seed_3,Seed_3,Seed_3,Seed_3,False
1056977529,4551549347,190.5900996857884,Seed_3,Seed_3,Seed_3,Seed_3,False
86039444,86030774,646.3407072955372,Seed_3,Seed_3,Seed_3,Seed_3,False
86039444,415324240,361.4319647116668,Seed_3,Seed_3,Seed_3,Seed_3,False
321780,321789,1278.2258771337943,Seed_4,Seed_3,boundary,Seed_3,True
321780,1056977721,515.8619679951655,Seed_4,Seed_3,boundary,Seed_4,True
321789,85883115,533.5262267671969,Seed_3,Seed_3,Seed_3,Seed_3,False
321789,774753015,193.30375006928196,Seed_3,Seed_3,Seed_3,Seed_3,False
85883115,14569471,20.762798310940155,Seed_3,Seed_3,Seed_3,Seed_3,False
85883115,14569462,161.59378058730715,Seed_3,Seed_3,Seed_3,Seed_3,False
321811,774753015,3006.508199893676,Seed_3,Seed_3,Seed_3,Seed_3,False
321811,321818,973.6548379685743,Seed_3,Seed_3,Seed_3,Seed_3,False
321811,9593620,435.72006991113005,Seed_3,Seed_3,Seed_3,Seed_3,False
774753015,9831976,1042.8648891846672,Seed_3,Seed_3,Seed_3,Seed_3,False
321812,269180659,1020.9620735359899,Seed_3,Seed_3,Seed_3,Seed_3,False
321812,269180672,404.93708719330505,Seed_3,Seed_3,Seed_3,Seed_3,False
321812,86030774,2600.4194985275144,Seed_3,Seed_3,Seed_3,Seed_3,False
269180659,321854,4016.720526649992,Seed_3,Seed_3,Seed_3,Seed_3,False
269180659,345800529,434.36221154213627,Seed_3,Seed_3,Seed_3,Seed_3,False
269180672,345801052,23.935116424641688,Seed_3,Seed_3,Seed_3,Seed_3,False
269180672,9593620,172.57590920501315,Seed_3,Seed_3,Seed_3,Seed_3,False
321818,9593601,425.45686798703883,Seed_3,Seed_3,Seed_3,Seed_3,False
321818,321855,3918.271765734705,Seed_3,Seed_3,Seed_3,Seed_3,False
