rank,node_id,label,x,y,street_count,distance_to_hotspot_m,quadrant
1,27563083,Seed_1,419097.88921985484,446398.08177193603,4,17215.360688590034,north_west
2,764416147,Seed_2,443320.3147786746,445958.3088773795,5,17876.51898744541,north_east
3,448707924,Seed_3,420282.2643684446,433694.1563311436,4,10219.580134099419,south_west
4,1329998313,Seed_4,444437.440139682,432697.38103723095,4,13960.531323936591,south_east
