node_id,x,y,planar_owner,node_network_owner,street_count
154962,443329.44958973606,438908.33538875286,Seed_4,Seed_4,3
3504720,443225.6498865847,439447.7609579365,Seed_2,Seed_4,3
30804402,443086.9282571522,440742.20146918646,Seed_2,Seed_2,3
155002,433120.83773584344,429602.06706557074,Seed_4,Seed_4,3
1596671811,432038.77943334094,428532.31342983525,Seed_3,Seed_3,3
155014,431926.13118167256,428285.433187625,Seed_3,Seed_3,3
319339,433119.298355999,429620.3034448847,Seed_4,Seed_4,3
1596671804,432130.38513301604,429275.3869209505,Seed_3,Seed_3,3
155023,432140.6867346009,427383.1831353591,Seed_4,Seed_3,3
9831544,432303.70629392425,427012.1142362703,Seed_4,Seed_3,3
86039969,431980.16621607455,425528.0061746758,Seed_3,Seed_3,3
155035,431998.85651897173,425581.85081198055,Seed_3,Seed_3,3
86040176,432187.06182572246,425989.0873925765,Seed_4,Seed_3,3
86031501,432227.0217097052,427075.8648091485,Seed_4,Seed_3,3
10260029642,434125.6586833424,429985.0172874478,Seed_4,Seed_4,3
6775147059,433555.3158868467,429769.085403022,Seed_4,Seed_4,3
319387,434517.0892665226,430786.79746990267,Seed_4,Seed_4,3
2377569836,434900.56839921454,431232.97510463966,Seed_4,Seed_4,3
6990105796,435641.5010886097,431309.62733126886,Seed_4,Seed_4,3
319415,434580.9144802079,430846.3482384799,Seed_4,Seed_4,3
375990593,434087.3935958588,429921.9087802089,Seed_4,Seed_4,3
319568,438653.24774108245,433870.4695386285,Seed_4,Seed_4,3
1578638436,441625.16535777727,434636.3306362636,Seed_4,Seed_4,3
319577,438662.6427071637,433852.64429557393,Seed_4,Seed_4,3
2377558210,437787.7544107367,432317.12761233817,Seed_4,Seed_4,3
1621260392,438322.49043661525,433545.7858465533,Seed_4,Seed_4,3
319599,443620.04442744976,435547.9807774789,Seed_4,Seed_4,3
1578639873,442620.4922231248,434487.174188106,Seed_4,Seed_4,3
319689,431562.8268918556,430548.7769442813,Seed_3,Seed_3,3
1596671830,432162.1701084305,429855.4865802153,Seed_3,Seed_3,3
1596683206,431890.05219788133,430495.1656349227,Seed_3,Seed_3,3
321760,436392.4368497987,425926.3345085635,Seed_4,Seed_4,3
994084,435896.7058333122,425841.76990579476,Seed_4,Seed_4,3
321763,435357.10405160586,425895.2841994085,Seed_4,Seed_4,3
321779,432855.0073812247,425959.8912805751,Seed_4,Seed_4,3
321764,435340.829892516,425911.53989862744,Seed_4,Seed_4,3
994047,435804.2128495764,425992.6283525394,Seed_4,Seed_4,3
321759,436391.8557852886,425944.29912367475,Seed_4,Seed_4,3
1056977529,432554.11454970913,426028.91902573267,Seed_4,Seed_3,3
86039444,431744.744973546,426342.8129144887,Seed_3,Seed_3,3
321780,432922.6410033044,425959.15128319315,Seed_4,Seed_4,3
321789,431710.612638309,426373.8030578223,Seed_3,Seed_3,3
85883115,432227.4943971594,426261.5351412785,Seed_4,Seed_3,3
321811,428532.41979824344,426428.4284600421,Seed_3,Seed_3,3
774753015,431527.27510355826,426436.6694019956,Seed_3,Seed_3,3
321812,428521.86819326476,426414.7349195576,Seed_3,Seed_3,3
269180659,427510.7042971609,426310.83973106835,Seed_3,Seed_3,3
269180672,428140.0783305434,426339.6160626868,Seed_3,Seed_3,3
321818,427564.2600749091,426351.56326463795,Seed_3,Seed_3,3
9593601,427959.08722355205,426502.1369734494,Seed_3,Seed_3,3
321854,424367.97837346286,427842.00574884296,Seed_3,Seed_3,3
247782201,423941.30283325515,427913.6496806238,Seed_3,Seed_3,3
321855,424496.24590902124,427778.60712496727,Seed_3,Seed_3,3
350831,424355.6018351828,427940.9754318801,Seed_3,Seed_3,3
402972859,427238.6466617543,430703.46260932693,Seed_3,Seed_3,3
350916,427185.314529736,430609.48210312997,Seed_3,Seed_3,3
350822,424273.7841887253,427753.14428067184,Seed_3,Seed_3,3
350945,428249.0325443949,431568.08461086743,Seed_3,Seed_3,3
11975633251,428452.47957709845,431641.47714284563,Seed_3,Seed_3,3
1599656486,428870.7329147907,431645.98668791424,Seed_3,Seed_3,3
350950,428872.7084145334,431632.28010974743,Seed_3,Seed_3,3
1599666771,428252.7641896359,431555.73462628806,Seed_3,Seed_3,3
1599664984,428596.2934061939,431563.8319900319,Seed_3,Seed_3,4
350966,429573.80898125184,432077.82138887816,Seed_3,Seed_3,3
1833014682,429833.0890053565,432268.51940413937,Seed_3,Seed_3,3
1596707302,429796.77567381505,432150.3721375839,Seed_3,Seed_3,3
601413,430847.1588838198,424409.71291366906,Seed_3,Seed_3,3
1590365895,430845.23045650264,424402.846532181,Seed_3,Seed_3,3
601438,431200.96492524387,424817.30583880236,Seed_3,Seed_3,3
1574723002,430249.6016319468,424097.02854696085,Seed_3,Seed_3,3
601478,430669.45980145707,424639.71029461815,Seed_3,Seed_3,3
299389281,430657.1719206143,424663.91879322066,Seed_3,Seed_3,3
299389151,430702.7016478455,424591.2608862544,Seed_3,Seed_3,4
610944,438397.2423756397,425561.42804394825,Seed_4,Seed_4,1
8341182883,438435.7590989591,425886.7237090301,Seed_4,Seed_4,3
610955,438445.17390656227,425899.7295925459,Seed_4,Seed_4,3
7856458760,438417.5187475069,425899.2143049183,Seed_4,Seed_4,3
316787870,439248.2416501291,426163.62970576226,Seed_4,Seed_4,3
610959,438013.52560564515,425854.6968891382,Seed_4,Seed_4,3
1940360473,438000.3583158007,425844.56556562125,Seed_4,Seed_4,3
610967,438925.05579411937,426798.7679580421,Seed_4,Seed_4,3
610968,438885.4969501707,426862.2509037728,Seed_4,Seed_4,3
551274768,439089.16928918875,426674.65638125304,Seed_4,Seed_4,3
1940360611,438832.13379099703,426935.1332611989,Seed_4,Seed_4,3
551274750,439011.9278123386,426923.058697509,Seed_4,Seed_4,3
610969,439484.5324348062,427059.3875419707,Seed_4,Seed_4,3
1940648407,439615.0633758005,427075.9738917566,Seed_4,Seed_4,3
443102334,439455.5901555914,427170.58748780855,Seed_4,Seed_4,4
1940360610,439052.4797275713,426936.3243693805,Seed_4,Seed_4,3
