accident_row,u,v,key,edge_length_m,distance_to_u_m,distance_to_v_m,nearest_intersection_distance_m,edge_fraction_to_nearest_intersection
0,643933,643936,0,55.44003740314511,32.43815728795161,23.0018801151935,23.0018801151935,0.41489654756056504
1,643930,643933,0,161.1409101151588,51.94176093866686,109.19914917649193,51.94176093866686,0.32233751752765244
2,643930,643933,0,161.1409101151588,51.94176093866686,109.19914917649193,51.94176093866686,0.32233751752765244
3,643930,643933,0,161.1409101151588,66.28633377584343,94.85457633931536,66.28633377584343,0.41135633234584645
4,52163767,358204009,0,460.46382755134243,55.077791220992665,405.3860363303498,55.077791220992665,0.11961371974403659
5,7275677007,9755805529,0,137.63338677762331,115.72004251813186,21.913344259491453,21.913344259491453,0.15921532393079324
6,1606819527,342579565,0,58.188465847452306,31.122306443998564,27.066159403453742,27.066159403453742,0.4651464686216468
7,9755805559,26299410,0,170.63568685260324,167.53433251432978,3.1013543382734667,3.1013543382734667,0.018175297298462817
8,9755805559,26299410,0,170.63568685260324,5.908779420688311,164.72690743191492,5.908779420688311,0.034628040181256876
9,7275677007,4540786888,0,227.93471145506948,118.53780609341877,109.39690536165071,109.39690536165071,0.47994842322739
10,26298423,7275677007,0,239.46148567802328,239.46148567802328,0.0,0.0,0.0
11,9405615106,921265743,0,301.18924676770894,1.7094565955629137,299.479790172146,1.7094565955629137,0.00567568933455757
12,9755805559,10563335063,0,99.88782334633278,2.037795591524418,97.85002775480837,2.037795591524418,0.020400840895881154
13,244449799,9405615106,0,45.40902546161731,37.56517378912661,7.8438516724907,7.8438516724907,0.17273772323347567
14,342620628,762669698,0,177.35757825906214,3.812158093810042,173.5454201652521,3.812158093810042,0.021494193432443638
15,9823016,9823012,0,49.90202016697978,27.932455550277737,21.969564616702044,21.969564616702044,0.4402540126269142
16,10103026385,340480304,0,84.94725824673425,9.783241139425648,75.16401710730861,9.783241139425648,0.11516841557157331
17,9755805559,10563335063,0,99.88782334633278,5.947255960933469,93.9405673853993,5.947255960933469,0.05953934885849941
18,301688528,9319419235,0,144.73228205725678,110.08621777596882,34.64606428128796,34.64606428128796,0.23938034962774796
19,301688528,9319419235,0,144.73228205725678,110.08621777596882,34.64606428128796,34.64606428128796,0.23938034962774796
20,643930,643933,0,161.1409101151588,50.63469099016659,110.5062191249922,50.63469099016659,0.3142261698409217
21,342660357,52162718,0,177.21495698247554,28.29098671395316,148.9239702685224,28.29098671395316,0.15964220625435585
