support,observed,upper_envelope,lower_envelope
0.0,0.0,0.0,0.0
226.4885938459769,2439.7238332879365,1147.2009985525458,317.3615288843839
452.9771876919538,5864.593780102248,3698.6187420113056,1013.8544584471293
679.4657815379308,10058.148272427154,7026.132768282634,1954.2064915109088
905.9543753839076,13925.068472823936,10392.14575315964,2977.981026303259
1132.4429692298845,17060.524642545377,13160.526732442831,3942.008543368765
1358.9315630758615,19638.967716341034,15097.757432622358,4683.9914151932
1585.4201569218383,21618.128135624098,16402.69249991368,5212.538908686284
1811.9087507678153,22617.838798433833,17084.313406374862,5549.158008289775
2038.3973446137923,23060.73055930823,17392.353623717896,5726.117282082582
2264.885938459769,23327.423639519064,17518.43407201417,5816.724961457609
2491.374532305746,23411.63910004195,17556.49609414135,5846.889761306699
