u,v,key,length,accident_count
611055,342626322,0,95.57933996774779,1
611055,317020454,0,66.77750817058683,1
611057,6047609602,0,32.104148869412406,0
643851,1020737601,0,7.979067037711693,1
643851,762669698,0,70.39900039657749,1
643907,26298423,0,15.623148180699715,1
643911,301689321,0,44.26462083579741,0
643911,643914,0,35.824769343786556,8
643914,342628235,0,13.850909481342587,4
643914,301689321,0,33.080143232123284,0
643929,643930,0,136.29531967869966,5
643929,317087679,0,69.74714951787695,1
643930,643933,0,160.7492705373795,19
643930,301688528,0,199.80751383908898,12
643933,10103026371,0,174.1234923800386,21
643933,643936,0,55.31766057479655,4
643936,250214013,0,21.332491192933468,0
643936,8326384271,0,101.97973426467433,0
643945,9823132,0,196.5443943255206,2
643945,6211583013,0,44.53501336833969,2
643946,1675168064,0,23.362637534915045,0
643946,8273166694,0,24.750112339167448,0
643951,659971029,0,23.943847710949036,0
9791699,342579578,0,11.875146535638287,0
9791722,26298425,0,38.12540633225558,0
9791722,26298435,0,104.28285134329815,2
9792428,52050086,0,211.2427268913453,0
9794307,2377604544,0,25.05889051383493,0
9823012,373299629,0,38.175115954885115,0
9823012,474665273,0,22.403467801766446,0
9823016,1020737635,0,5.224554192661948,0
9823016,9823012,0,49.82886848336142,2
9823068,9823073,0,114.76566022956112,1
9823073,1152092910,0,116.57589586175975,0
9823073,370191920,0,275.7512019134588,10
9823132,3381506666,0,10.239715867110888,9
9823132,1591373192,0,21.637339518553254,0
26296951,52167638,0,5.928776747417708,0
26296956,52350428,0,34.050379415762805,2
26296956,10624200323,0,83.8291122427438,0
26298420,1022749752,0,19.14300705885632,0
26298420,643907,0,43.521111259757774,0
26298423,7275677007,0,238.79432675244604,16
26298423,4540786888,0,23.221402295762292,2
26298424,26298426,0,89.15540866680446,0
26298424,26298425,0,29.352018972548333,0
26298425,9791722,0,38.12540633225558,0
26298425,26298424,0,29.352018972548333,0
26298426,26298424,0,89.15540866680446,0
26298426,342579616,0,27.505843776801527,0
26298428,342529332,0,41.20130308479903,0
26298428,26298429,0,85.94352496745043,6
26298429,26298430,0,31.31490687209851,0
26298429,26298424,0,101.00448041386866,0
26298430,342579576,0,25.24165231110771,0
26298430,2014304918,0,19.588808384786702,0
26298434,26298435,0,38.97358960267747,0
26298434,52167611,0,8.773072472401315,0
26298434,26298438,0,147.05697311919815,1
26298435,26298434,0,38.97358960267747,0
26298435,304904904,0,150.97882823574807,4
26298435,9791722,0,104.28285134329813,0
26298438,26298434,0,147.05697311919815,0
26298438,8674724116,0,104.06085280847716,1
26298440,26298445,0,37.613952379629815,0
26298440,395471671,0,101.99529779638445,0
26298441,26298440,0,25.881307185039482,1
26298441,1591373193,0,14.614563341723509,0
26298442,1591373193,0,38.47869117262847,0
26298445,3381506667,0,61.72420238327922,0
26298445,3381506666,0,53.652449765353566,3
26298474,26296951,0,223.60761774821097,45
26298479,247352905,0,61.89234457583483,0
26298479,44977061,0,126.29868429331334,0
26300437,643907,0,40.461182526882155,3
26660833,373299629,0,58.620731158241405,0
26660833,2377604580,0,138.56843016152692,1
26661423,320952839,0,10.503610778421061,0
26661432,342628235,0,63.098926087435515,9
26661446,26661448,0,54.815810660526665,0
26661448,5506378742,0,66.50265835436046,0
26661448,26661450,0,59.15969479001937,0
26661448,26661446,0,54.815810660526665,0
26661450,3181227677,0,27.65585296701906,0
26661450,26661432,0,127.84029012621816,2
26661450,26661448,0,59.15969479001937,0
30822588,26298426,0,59.48442790174656,3
44977061,342660327,0,183.67993249100095,0
44977061,247352905,0,91.33917543392576,0
51458926,320959781,0,37.343610894704725,1
51458926,6047609599,0,68.37365118272865,8
51458932,4842036912,0,19.632161932381205,0
51458940,1606959380,0,39.46101033477481,0
51458940,1020030657,0,33.632207844982915,1
51458940,1606959335,0,39.981938187694965,2
52050086,250214013,0,73.60574130785456,0
