dataset,scenario,rank,username,combined_score,distance_to_infected,shared_context_weight,degree_centrality,distance_score,shared_score,degree_score,same_component
REQUEST_FOR_DELETION,REQUEST_FOR_DELETION_two_seed,11,Stryn,0.2708502024291498,2.0,0.0,0.05184215824441313,0.5,0.0,0.10425101214574899,1
REQUEST_FOR_DELETION,REQUEST_FOR_DELETION_two_seed,12,Mbch331,0.27040485829959515,2.0,0.0,0.05073485001006644,0.5,0.0,0.1020242914979757,1
REQUEST_FOR_DELETION,REQUEST_FOR_DELETION_two_seed,13,Jura1,0.27016194331983806,2.0,0.0,0.050130863700422794,0.5,0.0,0.10080971659919029,1
REQUEST_FOR_DELETION,REQUEST_FOR_DELETION_two_seed,14,Wiki13,0.2682591093117409,2.0,0.0,0.045399637608214215,0.5,0.0,0.09129554655870445,1
REQUEST_FOR_DELETION,REQUEST_FOR_DELETION_two_seed,15,Wolverène,0.2677732793522267,2.0,0.0,0.04419166498892692,0.5,0.0,0.0888663967611336,1
PROPERTY_PROPOSAL,PROPERTY_PROPOSAL_one_seed,1,ArthurPSmith,0.875,1.0,1.0,0.45763820739286887,0.75,1.0,1.0,1
PROPERTY_PROPOSAL,PROPERTY_PROPOSAL_one_seed,2,ChristianKl,0.8341136526090065,1.0,1.0,0.36408243375858684,0.75,1.0,0.795568263045032,1
PROPERTY_PROPOSAL,PROPERTY_PROPOSAL_one_seed,3,Micru,0.7460507505360973,1.0,1.0,0.1625776905462872,0.75,1.0,0.35525375268048603,1
PROPERTY_PROPOSAL,PROPERTY_PROPOSAL_one_seed,4,ديفيد عادل وهبة خليل 2,0.43713366690493205,2.0,0.0,0.4281975793261367,0.5,0.0,0.9356683345246604,1
PROPERTY_PROPOSAL,PROPERTY_PROPOSAL_one_seed,5,Pigsonthewing,0.42898498927805573,2.0,0.0,0.4095518482172064,0.5,0.0,0.8949249463902788,1
PROPERTY_PROPOSAL,PROPERTY_PROPOSAL_one_seed,6,Jura1,0.4192637598284489,2.0,0.0,0.38730781812234216,0.5,0.0,0.8463187991422444,1
PROPERTY_PROPOSAL,PROPERTY_PROPOSAL_one_seed,7,Pintoch,0.40725518227305213,2.0,0.0,0.3598298985933922,0.5,0.0,0.7862759113652608,1
PROPERTY_PROPOSAL,PROPERTY_PROPOSAL_one_seed,8,Thierry Caro,0.3735167977126519,2.0,0.0,0.2826300294406281,0.5,0.0,0.6175839885632595,1
